"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Sep 28 10:51:52 UTC 2025","Sun Sep 28 10:52:24 UTC 2025","31580","","Product Catalog","","The one where Sally only wants to see Power Drills","","The one where Sally only wants to see Power Drills","  As a customer,
  I want to easily search, filter, and sort products in the catalog
  So that I can find what I need quickly.

  Sally is an online shopper"
"broken","Sun Sep 28 10:52:24 UTC 2025","Sun Sep 28 10:52:55 UTC 2025","30739","","Product Catalog","","Sally sorts by different criteria","","Sally sorts by different criteria","  As a customer,
  I want to easily search, filter, and sort products in the catalog
  So that I can find what I need quickly.

  Sally is an online shopper"
"broken","Sun Sep 28 10:49:19 UTC 2025","Sun Sep 28 10:49:50 UTC 2025","30439","","Contact form","","com.serenitydojo.playwright.toolshop.contact.ContactFormTest","messageTooShort","The message must be at least 50 characters long",""
"broken","Sun Sep 28 10:51:21 UTC 2025","Sun Sep 28 10:51:52 UTC 2025","30419","","Contact form","","com.serenitydojo.playwright.toolshop.contact.ContactFormTest","mandatoryFields","First name, last name, email and message are mandatory Message is a mandatory field",""
"broken","Sun Sep 28 10:52:24 UTC 2025","Sun Sep 28 10:52:54 UTC 2025","30540","","Product Catalog","","The one where Sally only wants to see Hand Saws","","The one where Sally only wants to see Hand Saws","  As a customer,
  I want to easily search, filter, and sort products in the catalog
  So that I can find what I need quickly.

  Sally is an online shopper"
"broken","Sun Sep 28 10:51:52 UTC 2025","Sun Sep 28 10:52:24 UTC 2025","31357","","Product Catalog","","The one where Sally searches for an Adjustable Wrench","","The one where Sally searches for an Adjustable Wrench","  As a customer,
  I want to easily search, filter, and sort products in the catalog
  So that I can find what I need quickly.

  Sally is an online shopper"
"broken","Sun Sep 28 10:48:18 UTC 2025","Sun Sep 28 10:48:49 UTC 2025","30672","","Searching by keyword","","com.serenitydojo.playwright.toolshop.catalog.SearchForProductsTest$SearchingByKeyword","clearingTheSearchResults","When the user clears a previous search results",""
"broken","Sun Sep 28 10:48:49 UTC 2025","Sun Sep 28 10:49:19 UTC 2025","30453","","Contact form","","com.serenitydojo.playwright.toolshop.contact.ContactFormTest","completeForm","Customers can use the contact form to contact us",""
"broken","Sun Sep 28 10:50:20 UTC 2025","Sun Sep 28 10:50:51 UTC 2025","30513","","Contact form","","com.serenitydojo.playwright.toolshop.contact.ContactFormTest","mandatoryFields","First name, last name, email and message are mandatory Last name is a mandatory field",""
"broken","Sun Sep 28 10:48:18 UTC 2025","Sun Sep 28 10:48:49 UTC 2025","30534","","Contact form","","com.serenitydojo.playwright.toolshop.contact.ContactFormTest","invalidEmailField","The email address must be correctly formatted 'notanemail' should be rejected",""
"broken","Sun Sep 28 10:52:54 UTC 2025","Sun Sep 28 10:53:25 UTC 2025","30471","","Product Catalog","","Sally sorts by different criteria","","Sally sorts by different criteria","  As a customer,
  I want to easily search, filter, and sort products in the catalog
  So that I can find what I need quickly.

  Sally is an online shopper"
"broken","Sun Sep 28 10:47:47 UTC 2025","Sun Sep 28 10:48:18 UTC 2025","30850","","Contact form","","com.serenitydojo.playwright.toolshop.contact.ContactFormTest","invalidEmailField","The email address must be correctly formatted 'not-an.email.com' should be rejected",""
"broken","Sun Sep 28 10:52:54 UTC 2025","Sun Sep 28 10:53:25 UTC 2025","30485","","Product Catalog","","Sally sorts by different criteria","","Sally sorts by different criteria","  As a customer,
  I want to easily search, filter, and sort products in the catalog
  So that I can find what I need quickly.

  Sally is an online shopper"
"broken","Sun Sep 28 10:46:59 UTC 2025","Sun Sep 28 10:47:47 UTC 2025","48112","","Contact form","","com.serenitydojo.playwright.toolshop.contact.ContactFormTest","invalidEmailField","The email address must be correctly formatted 'not-an-email' should be rejected",""
"broken","Sun Sep 28 10:47:47 UTC 2025","Sun Sep 28 10:48:18 UTC 2025","30693","","Searching by keyword","","com.serenitydojo.playwright.toolshop.catalog.SearchForProductsTest$SearchingByKeyword","whenThereIsNoMatchingProduct","When there are no matching results",""
"broken","Sun Sep 28 10:51:52 UTC 2025","Sun Sep 28 10:52:24 UTC 2025","31549","","Product Catalog","","The one where Sally searches for a product that doesn't exist","","The one where Sally searches for a product that doesn't exist","  As a customer,
  I want to easily search, filter, and sort products in the catalog
  So that I can find what I need quickly.

  Sally is an online shopper"
"broken","Sun Sep 28 10:51:52 UTC 2025","Sun Sep 28 10:52:24 UTC 2025","31848","","Product Catalog","","Sally sorts by different criteria","","Sally sorts by different criteria","  As a customer,
  I want to easily search, filter, and sort products in the catalog
  So that I can find what I need quickly.

  Sally is an online shopper"
"broken","Sun Sep 28 10:52:24 UTC 2025","Sun Sep 28 10:52:54 UTC 2025","30792","","Product Catalog","","The one where Sally searches for a more general term","","The one where Sally searches for a more general term","  As a customer,
  I want to easily search, filter, and sort products in the catalog
  So that I can find what I need quickly.

  Sally is an online shopper"
"broken","Sun Sep 28 10:49:50 UTC 2025","Sun Sep 28 10:50:20 UTC 2025","30491","","Contact form","","com.serenitydojo.playwright.toolshop.contact.ContactFormTest","mandatoryFields","First name, last name, email and message are mandatory First name is a mandatory field",""
"broken","Sun Sep 28 10:46:59 UTC 2025","Sun Sep 28 10:47:47 UTC 2025","48373","","Searching by keyword","","com.serenitydojo.playwright.toolshop.catalog.SearchForProductsTest$SearchingByKeyword","whenSearchingByKeyword","When there are matching results",""
"broken","Sun Sep 28 10:47:48 UTC 2025","Sun Sep 28 10:48:19 UTC 2025","30755","","Shopping Cart","","com.serenitydojo.playwright.toolshop.catalog.AddToCartTest","whenCheckingOutASingleItem","Checking out a single item",""
"broken","Sun Sep 28 10:50:51 UTC 2025","Sun Sep 28 10:51:21 UTC 2025","30439","","Contact form","","com.serenitydojo.playwright.toolshop.contact.ContactFormTest","mandatoryFields","First name, last name, email and message are mandatory Email is a mandatory field",""
"broken","Sun Sep 28 10:46:59 UTC 2025","Sun Sep 28 10:47:48 UTC 2025","48733","","Shopping Cart","","com.serenitydojo.playwright.toolshop.catalog.AddToCartTest","whenCheckingOutMultipleItems","Checking out multiple items",""
